clust_ID,X_position,Y_position,KERATIN,CD45
4,15.98013245,21.61589404,5.88476023,5.376504048
4,7.323741007,440.5611511,5.281449278,6.773302599
4,9.580645161,471.4222874,5.930633709,5.7516226
3,8.242424242,551.5656566,5.532910275,7.467347979
3,8.917647059,571.4235294,5.400130421,7.226769281
4,8.102564103,601.0940171,5.453328482,5.887527519
4,8.361581921,633.1016949,5.509960007,5.411646052
4,7.584210526,755.2473684,5.865647682,6.810415145
4,8.728323699,775.5606936,5.819980011,6.111313527
4,4.482758621,859.4137931,5.400578256,5.402522042
4,29.11816578,923.7037037,5.447877025,5.357833375
4,7.918215613,1143.475836,5.733497663,5.497564271
4,6.850299401,1232.784431,5.438053274,5.854745873
2,3.540540541,1555.810811,5.883886861,4.966805779
2,14.5532646,1738.780069,5.960021755,5.328459857
4,3.220779221,1823.480519,6.32193551,5.020799909
4,10.56055363,2033.550173,5.477736792,5.097479414
4,2.584615385,2072.138462,5.522567997,7.087753626
4,8.958677686,2163.950413,5.488561998,4.989588918
4,2.986486486,2336.162162,5.304917162,5.308401486
4,9.238317757,2377.107477,5.369463681,5.043816961
4,15.92156863,2570.019608,5.608160155,5.18178355
4,9.325757576,2768.026515,5.638812884,5.199960885
4,2.75,2800.875,5.847922901,5.247535637
4,9.004166667,2836.804167,5.621894315,4.997662623
4,3.19047619,2953.190476,5.361143112,4.876166198
4,13.64236111,2971.677083,5.724979826,5.357797543
4,3.06122449,2999.204082,5.68994569,5.023880521
4,4.487394958,3051.369748,5.387958336,5.021167867
4,6.869047619,3079.136905,5.608621093,4.897928638
4,8.021052632,3457.245614,5.958043824,5.104242802
2,11.41314554,3763.098592,5.980204204,5.544755554
2,3.819047619,4538.314286,6.774887612,5.273829495
2,2.255319149,4622.914894,6.328392607,5.062190965
2,3.01369863,4682.794521,6.092424986,5.729921863
2,10.70967742,4992.818548,5.819855567,5.386269161
2,5.548387097,5342.462366,6.842338953,5.497212293
4,15.9978022,5497.072527,5.652304085,5.265805527
2,5.90459364,5539.024735,6.465721486,5.204453137
3,5.215517241,5624.534483,5.57699349,7.904672103
4,4.70754717,5919.971698,5.436724824,6.040614036
3,15.08518519,3530.766667,5.901894344,7.353665422
4,13.79792746,998.0621762,5.681462692,5.319059307
2,22.27007299,4382.326034,6.254946472,5.571654338
4,11.16911765,1028.433824,5.650267933,5.364772708
3,18.49759615,1203.507212,6.328348787,7.29908408
4,23.15231788,1871.602649,5.302283003,5.017192118
4,13.49717514,262.7627119,5.456768713,5.552674869
2,18.00813008,1574.666667,6.370262873,5.06616486
4,18.63600783,2097.888454,5.603388946,5.307017182
4,20.88983051,520.299435,5.823714278,5.51176434
4,21.13679245,3103.117925,5.610300811,5.010792514
2,18.04526749,3829.806584,5.712550507,5.34249176
2,22.11728395,4632.925926,5.69224498,6.392821434
4,15.25257732,5990.201031,5.779804422,5.400073456
4,15.92413793,3123.089655,5.712161069,5.017553834
1,18.67493797,4901.208437,8.718277246,5.551294322
2,19.78714859,1500.975904,6.955496892,5.479751649
2,18.15833333,1753.133333,5.7656351,5.351384087
2,23.15819209,4012.067797,6.72977682,5.279914606
2,22.07392996,4469.66537,6.277630393,5.071299589
2,25.69565217,4572.053512,5.938682731,6.655535042
4,19.072,967.88,5.674889051,5.44556427
2,20.82666667,5334.986667,5.68264963,5.548479279
4,25.08637874,730.4817276,5.918777747,5.853156697
4,28.89198606,1792.02439,5.76628277,5.205861993
3,20.53333333,5388.95,5.543613723,7.486487184
4,28.15974441,5692.945687,5.690942136,5.450448665
4,23.47761194,5934.109453,5.490088332,5.556597527
4,23.22012579,860.8427673,5.354685811,5.326623629
2,25.52873563,5242.568966,5.368416905,5.185747014
4,24.92413793,500.4896552,5.758553622,5.506312272
2,26.4829932,5305.401361,6.041452568,5.463024377
4,33.14247312,5890.946237,5.450738441,5.607007064
3,26.59585492,234.8238342,5.325130817,6.929663784
4,29.83919598,656.3065327,5.299422284,6.010256712
4,29.23780488,1254.469512,5.209452832,5.281561921
3,24.38235294,711.3529412,5.626880255,7.735883169
4,27.36231884,956.6376812,5.540950907,5.338687085
4,36.03676471,2850.977941,5.8916239,4.8686462
3,28.33050847,3187.779661,5.102962086,7.708208962
3,29.64285714,76.78195489,5.775181805,8.340418328
4,29.496,287.192,5.776289165,5.456926663
3,33.16993464,5608.039216,5.890198759,9.082042692
4,31.4587156,5868.454128,5.591602976,5.379833935
4,37.3804878,2243.35935,5.106595669,5.12986985
4,35.14979757,266.6720648,5.465956767,5.574260769
4,35.98648649,1094.206081,5.817613769,5.269580692
2,47.91811024,4873.258268,6.030522467,5.963243275
2,35.92387543,4963.221453,5.660735303,5.406519861
2,35.51440329,1463.061728,5.785533125,6.032533425
4,38.36018957,5563.078199,6.090934525,5.296692825
4,35.7962963,2045.848148,5.518478698,5.188213107
4,36.48880597,2197.548507,5.439570734,5.323937834
2,38.3153527,3615.908714,6.912284426,5.365665733
4,39.85169492,3083.610169,5.687750695,5.025913466
4,35.83673469,2285.44898,5.374238563,5.109587566
4,46.73257699,5531.042139,6.027067109,5.282010082
4,35.96153846,3112.615385,5.767479296,4.774912961
4,38.69473684,2061.4,5.694157354,5.101790122
4,59.03778677,3461.74224,7.105564689,5.069642351
4,46.72900763,478.9580153,5.648786069,5.568417341
4,48.59810127,552.8924051,5.552161995,5.473267411
3,42.03361345,1123.420168,5.645417203,8.266719466
2,38.13513514,5241.486486,5.500264888,5.307062797
4,47.05339806,319.2087379,5.674890117,5.506731613
2,45.02654867,3872.606195,5.672243099,6.038694287
2,43.12605042,4456.436975,7.639027712,5.538227139
4,61.09006211,2524.496894,5.341382805,5.216065959
